symbol,Year,pp,r1,s1,r2,s2,r3,s3
RELIANCE,2025,1341.92,1497.51,1186.33,1593.63,1090.21,1749.22,934.62
RELIANCE,2024,1230.9,1353.98,1107.82,1430.02,1031.78,1553.1,908.7
RELIANCE,2023,1204.75,1327.85,1081.65,1403.9,1005.6,1527,882.5
RELIANCE,2022,1104.05,1271.79,936.31,1375.41,832.69,1543.15,664.95
RELIANCE,2021,830.9,1102.85,558.95,1270.85,390.95,1542.8,119
RELIANCE,2020,669.25,766.91,571.59,827.24,511.26,924.9,413.6
RELIANCE,2019,527.63,611.02,444.24,662.54,392.72,745.93,309.33
RELIANCE,2018,379.22,461.71,296.72,512.67,245.76,595.17,163.27
RELIANCE,2017,246.23,268.24,224.23,281.83,210.64,303.83,188.63
RELIANCE,2016,228.7,253.42,203.98,268.68,188.72,293.4,164
RELIANCE,2015,224.77,256.82,192.72,276.62,172.92,308.67,140.87
RELIANCE,2014,207.63,225.05,190.21,235.81,179.45,253.23,162.03
RELIANCE,2013,190.2,209.19,171.21,220.91,159.49,239.9,140.5
RELIANCE,2012,196.47,233.1,159.83,255.73,137.2,292.37,100.57
RELIANCE,2011,248.12,269.49,226.74,282.69,213.54,304.07,192.17
RELIANCE,2010,229.62,296.52,162.71,337.86,121.37,404.77,54.47
RELIANCE,2009,216.88,324.66,109.1,391.25,42.51,499.03,-65.27
RELIANCE,2008,282.78,362.03,203.54,410.99,154.58,490.23,75.33
RELIANCE,2007,125.75,159.25,92.25,179.95,71.55,213.45,38.05
RELIANCE,2006,69.73,84.13,55.33,93.03,46.43,107.43,32.03
RELIANCE,2005,47.87,57.26,38.47,63.07,32.66,72.47,23.27
RELIANCE,2004,43.22,54.64,31.79,61.69,24.74,73.12,13.32
RELIANCE,2003,26.3,30.71,21.89,33.44,19.16,37.85,14.75
RELIANCE,2002,29.4,38.07,20.73,43.43,15.37,52.1,6.7
RELIANCE,2001,28.33,35.09,21.57,39.27,17.39,46.03,10.63
LUPIN,2025,2012.75,2419.68,1605.82,2671.07,1354.43,3078,947.5
LUPIN,2024,1099.27,1373.87,824.67,1543.52,655.02,1818.12,380.42
LUPIN,2023,762.72,911.1,614.33,1002.78,522.65,1151.17,374.27
LUPIN,2022,1023.97,1182.17,865.76,1279.91,768.02,1438.12,609.82
LUPIN,2021,867.97,1103.87,632.06,1249.61,486.32,1485.52,250.42
LUPIN,2020,766.13,858.71,673.56,915.91,616.36,1008.48,523.78
LUPIN,2019,851.35,951.61,751.09,1013.54,689.16,1113.8,588.9
LUPIN,2018,1088.32,1381.44,795.19,1562.54,614.09,1855.67,320.97
LUPIN,2017,1559.62,1801,1318.23,1950.13,1169.1,2191.52,927.72
LUPIN,2016,1777.2,2068.91,1485.49,2249.14,1305.26,2540.85,1013.55
LUPIN,2015,1260.28,1505.57,1015,1657.1,863.47,1902.38,618.18
LUPIN,2014,807.15,951.55,662.75,1040.75,573.55,1185.15,429.15
LUPIN,2013,555.03,636.27,473.8,686.45,423.62,767.68,342.38
LUPIN,2012,434.98,484.99,384.98,515.88,354.09,565.88,304.08
LUPIN,2011,421.47,520,322.94,580.87,262.07,679.4,163.54
LUPIN,2010,237.26,315.54,158.97,363.9,110.61,442.19,32.33
LUPIN,2009,121.66,148.93,94.38,165.78,77.53,193.06,50.26
LUPIN,2008,126.04,151.95,100.13,167.97,84.11,193.88,58.2
LUPIN,2007,110.09,130.9,89.28,143.75,76.43,164.56,55.62
LUPIN,2006,69.36,82.79,55.94,91.09,47.64,104.51,34.21
LUPIN,2005,69.63,84.91,54.35,94.35,44.91,109.63,29.63
LUPIN,2004,54.66,81.05,28.27,97.36,11.96,123.75,-14.43
