Symbol,from_date,to_date
ABB,01-Jan-05,01-Oct-10
ACC,01-Jan-05,29-Sep-17
ADANIENT,30-Sep-22,
ADANIPORTS,28-Sep-15,
AMBUJACEM,01-Jan-05,02-Apr-18
APOLLOHOSP,31-Mar-22,
ASIANPAINT,27-Apr-12,
AUROPHARMA,01-Apr-16,02-Apr-18
AXISBANK,27-Mar-09,
BAJAJ-AUTO,01-Jan-05,14-Mar-08
BAJAJ-AUTO,01-Oct-10,
BAJAJFINSV,02-Apr-18,
BAJFINANCE,29-Sep-17,
BANKBARODA,27-Apr-12,29-Sep-17
BEL,30-Sep-24,
BHARTIARTL,01-Mar-04,
BHEL,01-Jan-05,31-Mar-17
BOSCHLTD,29-May-15,02-Apr-18
BPCL,01-Jan-05,28-Mar-25
BRITANNIA,29-Mar-19,28-Mar-25
CIPLA,07-Oct-98,
COALINDIA,10-Oct-11,
DABUR,01-Jan-05,24-Sep-07
DIVISLAB,25-Sep-20,30-Sep-24
DLF,14-Mar-08,27-Mar-15
DRREDDY,01-Jan-05,10-Sep-08
DRREDDY,01-Oct-10,
EICHERMOT,01-Apr-16,
ETERNAL,28-Mar-25,
GAIL,01-Jan-05,31-Mar-21
GLAXO,01-Jan-05,14-Mar-08
GRASIM,01-Jan-05,08-Apr-10
GRASIM,25-Mar-11,26-May-17
GRASIM,02-Apr-18,
HCLTECH,28-Oct-02,
HDFC,01-Jan-05,13-Jul-23
HDFCBANK,22-Apr-96,
HDFCLIFE,31-Jul-20,
HEROMOTOCO,07-Oct-98,
HINDALCO,22-Apr-96,
HINDPETRO,01-Jan-05,12-Dec-07
HINDPETRO,29-Sep-17,29-Mar-19
HINDUNILVR,22-Apr-96,
ICICIBANK,25-Jan-02,
IDEA,12-Dec-07,01-Oct-10
IDEA,27-Mar-15,31-Mar-17
IDFC,20-Oct-09,29-May-15
INDUSINDBK,01-Apr-13,
INFRATEL,01-Apr-16,25-Sep-20
INFY,07-Oct-98,
IOC,31-Mar-17,31-Mar-22
ITC,22-Apr-96,
JINDALSTEL,17-Jun-09,27-Mar-15
JIOFIN,28-Mar-25,
JPASSOCIAT,20-Oct-09,28-Mar-14
JSWSTEEL,28-Sep-18,
KOTAKBANK,08-Apr-10,
LT,10-Dec-04,
LTIM,13-Jul-23,30-Sep-24
LUPIN,28-Sep-12,28-Sep-18
M&M,18-Sep-96,
MARUTI,01-Mar-04,
NESTLEIND,27-Sep-19,
NMDC,01-Apr-13,28-Sep-15
NTPC,24-Sep-07,
ONGC,12-Apr-04,
PNB,01-Jan-05,01-Apr-16
POWERGRID,14-Mar-08,
RCOM,01-Sep-06,27-Apr-12
RELCAPITAL,12-Jan-09,10-Oct-11
RELIANCE,22-Apr-96,
RELINFRA,01-Jan-05,27-Sep-13
RPOWER,10-Sep-08,27-Apr-12
SAIL,01-Jan-05,28-Sep-12
SAMMAANCAP,31-Mar-17,27-Sep-19
SBILIFE,25-Sep-20,
SBIN,22-Apr-96,
SHREECEM,19-Mar-20,30-Sep-22
SHRIRAMFIN,28-Mar-24,
SIEMENS,27-Jun-06,01-Apr-13
SUNPHARMA,17-Jan-02,
SUZLON,27-Jun-06,25-Mar-11
TATACHEM,01-Jan-05,27-Jun-06
TATACOMM,01-Jan-05,20-Oct-09
TATACONSUM,01-Jan-05,01-Sep-06
TATACONSUM,31-Mar-21,
TATAMOTORS,22-Apr-96,
TATAPOWER,01-Jan-05,29-Sep-17
TATASTEEL,22-Apr-96,
TCS,25-Feb-05,
TECHM,28-Mar-14,
TITAN,02-Apr-18,
TRENT,30-Sep-24,
ULTRACEMCO,28-Sep-12,
UNITECH,05-Oct-07,01-Oct-10
UPL,29-Sep-17,28-Mar-24
VEDL,01-Oct-10,01-Apr-16
VEDL,26-May-17,31-Jul-20
WIPRO,01-Jan-05,01-Apr-13
WIPRO,27-Sep-13,
YESBANK,27-Mar-15,19-Mar-20
ZEEL,01-Jan-05,27-Mar-09
ZEEL,19-Sep-14,25-Sep-20
